dataset,predictor,test_mae,hi_conf_mae,coverage_90,mean_width,abstain_rate,mean_tradability,n_forbidden_flag_violations
spy_phase1_random40_noiselow,interpolation,0.07296892124408841,0.07418891094353314,0.0,0.0,0.5689986070267761,0.9431001392973225,43406
spy_phase1_random40_noiselow,masked_mlp,0.09052732492474538,0.09190515652506755,0.0,0.0,0.015477480266212661,0.9984522519733787,1004
spy_phase1_random40_noiselow,conditional_point,0.08413326928142717,0.08557312564639073,0.0,0.0,0.09874632409843677,0.9901253675901563,7381
spy_phase1_random40_noiselow,conditional_calibrated,0.08552025796650299,0.06064640456440343,0.9184027240365269,0.36575251593406827,1.0,0.2788928745125304,7476
