model,split,date,n_points,calendar_n_eval,calendar_violations,calendar_rate,calendar_severity,monotonicity_n_eval,monotonicity_violations,monotonicity_rate,monotonicity_severity,convexity_n_eval,convexity_violations,convexity_rate,convexity_severity,mean_instability,risk_flag_rate
interp_rbf,train,2008-01-02,1343,1212,205,0.16914191419141913,0.7262016040806512,1332,37,0.027777777777777776,6.004170935191744e-06,1321,2,0.001514004542013626,inf,0.013693809025163711,0.33507073715562175
interp_rbf,train,2008-01-03,1334,1203,207,0.17206982543640897,0.6688491936050631,1323,50,0.03779289493575208,5.814554205425653e-05,1312,18,0.013719512195121951,inf,0.012755268032771567,0.3793103448275862
interp_rbf,train,2008-01-04,1360,1229,194,0.15785191212367777,0.6979561249313924,1348,55,0.04080118694362018,0.0001954706546677537,1336,8,0.005988023952095809,inf,0.011143727822677297,0.3558823529411765
interp_rbf,train,2008-01-07,1349,1218,201,0.16502463054187191,0.6880219848161129,1337,41,0.030665669409124907,2.7633340295854552e-05,1325,12,0.009056603773584906,inf,0.012260878333703474,0.34321719792438843
interp_rbf,train,2008-01-08,1348,1217,191,0.15694330320460148,0.447720094253896,1336,66,0.04940119760479042,7.950750690315696e-05,1324,1,0.0007552870090634441,inf,0.011059887752484418,0.3464391691394659
interp_rbf,train,2008-01-09,1364,1233,193,0.15652879156528793,0.6891597445401675,1352,43,0.031804733727810654,0.0003110357355307219,1340,13,0.009701492537313432,inf,0.012617077394378028,0.33724340175953077
interp_rbf,train,2008-01-10,1374,1243,184,0.14802896218825423,0.5412649607912075,1362,50,0.03671071953010279,3.711464522085003e-05,1350,25,0.018518518518518517,inf,0.01197977283937618,0.3420669577874818
interp_rbf,train,2008-01-11,1379,1248,192,0.15384615384615385,0.8629074330766013,1367,71,0.05193855157278712,0.0011307090087941329,1355,14,0.010332103321033211,inf,0.013323473556874209,0.36258158085569253
interp_rbf,train,2008-01-14,1370,1239,187,0.1509281678773204,0.5079488242676334,1358,49,0.03608247422680412,0.00012447265736131928,1346,19,0.01411589895988113,inf,0.013353427999468405,0.33357664233576645
interp_rbf,train,2008-01-15,1366,1235,205,0.1659919028340081,0.4820665571018009,1354,44,0.03249630723781388,2.063091100312753e-05,1342,6,0.004470938897168405,inf,0.012707162186673067,0.3440702781844802
interp_rbf,train,2008-01-16,1361,1230,182,0.14796747967479676,0.5336620404733189,1349,72,0.05337286879169755,0.0011932825761610756,1337,19,0.014210919970082274,inf,0.012884429166351236,0.3556208670095518
interp_rbf,train,2008-01-17,1395,1264,180,0.14240506329113925,0.790118150816365,1383,83,0.060014461315979754,0.002859521960358969,1371,32,0.023340627279358133,inf,0.01486797279239415,0.36774193548387096
interp_rbf,train,2008-01-18,1361,1230,180,0.14634146341463414,0.6096283607532611,1349,88,0.06523350630096368,0.0013849342491429387,1337,20,0.014958863126402393,inf,0.01557032890399881,0.3629684055841293
interp_rbf,train,2008-01-22,1627,1496,295,0.19719251336898397,0.9369346246441372,1615,106,0.06563467492260062,0.00041650864541026224,1603,17,0.010605115408608859,inf,0.014946101513873603,0.4634296250768285
interp_rbf,train,2008-01-23,1703,1572,285,0.18129770992366412,1.8456047891706104,1689,82,0.04854943753700414,0.0018125742274025917,1675,43,0.025671641791044777,inf,0.014432014351569874,0.42924251321197887
interp_rbf,train,2008-01-24,1693,1562,301,0.19270166453265045,1.565416565947775,1679,73,0.043478260869565216,0.00019595484500048747,1665,22,0.013213213213213212,inf,0.013583449639010908,0.4270525694034259
interp_rbf,train,2008-01-25,1694,1563,302,0.19321817018554063,1.0985716038549278,1680,64,0.0380952380952381,0.00027058088018012386,1666,1,0.0006002400960384153,0.26885625137759606,0.01495017354585314,0.41204250295159384
interp_rbf,train,2008-01-28,1689,1558,334,0.21437740693196405,1.422360430898437,1675,78,0.046567164179104475,0.0001258460959783893,1661,30,0.018061408789885613,inf,0.012464232695430934,0.4712847838957963
interp_rbf,train,2008-01-29,1685,1554,299,0.19240669240669242,1.097003477549589,1671,62,0.03710353081986834,0.0011013108816634164,1657,49,0.029571514785757393,inf,0.013156362327206541,0.4367952522255193
