model,split,date,n_points,calendar_n_eval,calendar_violations,calendar_rate,calendar_severity,monotonicity_n_eval,monotonicity_violations,monotonicity_rate,monotonicity_severity,convexity_n_eval,convexity_violations,convexity_rate,convexity_severity,mean_instability,risk_flag_rate
conditional_surface,train,2008-01-02,1343,1212,0,0.0,0.0,1332,0,0.0,0.0,1321,0,0.0,0.0,0.0018236414918105348,0.0
conditional_surface,train,2008-01-03,1334,1203,49,0.040731504571903575,0.01531279395759025,1323,0,0.0,0.0,1312,0,0.0,0.0,0.0025909404237851584,0.0734632683658171
conditional_surface,train,2008-01-04,1360,1229,33,0.026851098454027666,0.0018922135451397322,1348,0,0.0,0.0,1336,0,0.0,0.0,0.0019778096639421886,0.04852941176470588
conditional_surface,train,2008-01-07,1349,1218,23,0.018883415435139574,0.0025601097514331306,1337,0,0.0,0.0,1325,0,0.0,0.0,0.002349071363702643,0.0340993328391401
conditional_surface,train,2008-01-08,1348,1217,104,0.08545603944124898,0.010591851278396344,1336,0,0.0,0.0,1324,0,0.0,0.0,0.001871944214364514,0.1543026706231454
conditional_surface,train,2008-01-09,1364,1233,85,0.0689375506893755,0.01903181762057427,1352,0,0.0,0.0,1340,0,0.0,0.0,0.002451470842110258,0.12463343108504399
conditional_surface,train,2008-01-10,1374,1243,104,0.083668543845535,0.03507283148848048,1362,0,0.0,0.0,1350,0,0.0,0.0,0.0028031208872665724,0.15138282387190685
conditional_surface,train,2008-01-11,1379,1248,97,0.07772435897435898,0.029543995409252236,1367,0,0.0,0.0,1355,0,0.0,0.0,0.002652598765015507,0.1406816533720087
conditional_surface,train,2008-01-14,1370,1239,89,0.07183212267958031,0.02168122560018145,1358,0,0.0,0.0,1346,0,0.0,0.0,0.0024338988811244302,0.12992700729927006
conditional_surface,train,2008-01-15,1366,1235,117,0.09473684210526316,0.011938762657007933,1354,0,0.0,0.0,1342,0,0.0,0.0,0.0034011815513697212,0.17130307467057102
conditional_surface,train,2008-01-16,1361,1230,172,0.13983739837398373,0.05208858792832649,1349,0,0.0,0.0,1337,0,0.0,0.0,0.0028075777007965106,0.25275532696546654
conditional_surface,train,2008-01-17,1395,1264,199,0.1574367088607595,0.0651147664208527,1383,0,0.0,0.0,1371,0,0.0,0.0,0.00290841670342844,0.2853046594982079
