model,overall_mae,overall_rmse,overall_mape,overall_n,observed_mae,observed_rmse,observed_mape,observed_n,unobserved_mae,unobserved_rmse,unobserved_mape,unobserved_n,by_maturity_short_mae,by_maturity_short_rmse,by_maturity_short_n,by_maturity_medium_mae,by_maturity_medium_rmse,by_maturity_medium_n,by_maturity_long_mae,by_maturity_long_rmse,by_maturity_long_n,by_moneyness_deep_itm_mae,by_moneyness_deep_itm_rmse,by_moneyness_deep_itm_n,by_moneyness_itm_mae,by_moneyness_itm_rmse,by_moneyness_itm_n,by_moneyness_atm_mae,by_moneyness_atm_rmse,by_moneyness_atm_n,by_moneyness_otm_mae,by_moneyness_otm_rmse,by_moneyness_otm_n,by_moneyness_deep_otm_mae,by_moneyness_deep_otm_rmse,by_moneyness_deep_otm_n,split
interp_rbf,0.048475008798537306,0.08882582012972869,110.31557382926755,11112617,0.036690498889237234,0.06497946355992078,81.01572678221406,4442050,0.05632252494560642,0.10164846538742799,129.82686658374615,6670567,0.05335217265450668,0.10677048277070117,2762389,0.044406972183884334,0.08416078677065138,4286493,0.049450708908295,0.07972034363351455,4063735,0.09636243657287848,0.14816084219768377,2946951,0.03521207597780722,0.06353452707095578,2651839,0.01747774534453422,0.026962904894876856,2761710,0.03604186990084425,0.050731312894981666,1866565,0.05170686158809326,0.07860976962935867,885552,train
interp_rbf,0.04627367977948002,0.09050919661834796,88.072112576388,5593759,0.037896621473591886,0.07117011593298705,70.68196288263813,2239181,0.05186536666064268,0.10138543600068027,99.68003845600697,3354578,0.060835441084597174,0.10883951136195547,1982093,0.03703132436728842,0.0811007301778649,2026308,0.03988086097137709,0.07541228763859603,1585358,0.09183192982581108,0.15607574789260856,1213887,0.03881455238416262,0.07604453324210506,1359928,0.014318125902272476,0.024899230885976016,1396606,0.036858698638737065,0.05460977926949075,1098669,0.06497990202554141,0.08997287228197885,524669,val
interp_rbf,0.06619923020904579,0.11240480132110346,142.66949505789447,5805664,0.05422727276122582,0.08925449447568763,114.22166527409235,2320530,0.07417059843086729,0.12547223160043613,161.6111031705829,3485134,0.07219503483733423,0.12470887011929241,1957278,0.0526241928706157,0.09870055451373794,2169287,0.07674815884965829,0.11389317634309488,1679099,0.13279174892243134,0.18738826016790022,1339927,0.050386412333587226,0.08837954279506059,1534821,0.017925347271874375,0.03019630883715801,1637144,0.05500631825534462,0.07039174833594809,837003,0.11751735778257831,0.13780726809474217,456769,test
mlp,0.13995471313184457,0.21768727120927617,245.50063450640894,11112617,0.13994598390537744,0.2174780454287505,245.6997282646162,4442050,0.1399605260800435,0.21782648693114853,245.36805440809877,6670567,0.1970097736752887,0.3244198674155286,2762389,0.1333301076163233,0.18264100879410403,4286493,0.10815836163020866,0.15117944377707432,4063735,0.2093389050407354,0.3048506140795845,2946951,0.11376808372462865,0.17541238107977394,2651839,0.10169360537983849,0.14903465851474906,2761710,0.11549765564960236,0.17452531371260754,1866565,0.15834740243708997,0.2445019677157398,885552,train
mlp,0.09487661101043486,0.1616686197918232,187.32300289846657,5593759,0.09490296847859449,0.1617330947350638,187.72413535081782,2239181,0.09485901739898472,0.1616255684497201,187.05524696440028,3354578,0.12818834114231134,0.226778471868443,1982093,0.07936777143123346,0.11883405574112413,2026308,0.07305109185184168,0.09936234874015329,1585358,0.18275868462961725,0.25678317253909216,1213887,0.07328349721076734,0.1252601751276198,1359928,0.046686127233189885,0.06365064959443589,1396606,0.07268984273709446,0.12193583323549663,1098669,0.12225617157584161,0.2086017800374964,524669,val
mlp,0.09512431513346752,0.16648180516681146,246.1333576893437,5805664,0.095123019458475,0.16648298173564385,245.983079992505,2320530,0.09512517784138359,0.16648102175953236,246.2334180898464,3485134,0.13233412498420383,0.23845247560166508,1957278,0.07064702355172753,0.11330865693645298,2169287,0.08337297004806667,0.11386450596527514,1679099,0.18750025285352465,0.2667758108299743,1339927,0.0704095033857272,0.13905201831362415,1534821,0.03534231641362007,0.0567744556267135,1637144,0.0770501671368556,0.11700676501495524,837003,0.15457593200735698,0.20468397395069318,456769,test
