regime,intensity,rbf_mae,hybrid_fair_mae,abs_delta,rel_edge_pct,ci_low,ci_high,significant,n_context,n_test_rows,epochs,best_val_loss,wall_seconds
combined_quotes_wings,0.2,0.017382750289720167,0.016969865628165992,-0.0004128846615541748,2.375255092966198,-0.0004659221926310565,-0.0003605472412681975,True,710488,2769021,50,-4.0869762680747295,1935.8
combined_quotes_wings,0.4,0.03922645771375746,0.037110500856517736,-0.002115956857239726,5.39420834957937,-0.002306908213339111,-0.0019289384210728043,True,399751,2769021,50,-3.651497082276778,1189.3
combined_quotes_wings,0.6,0.060586742399442645,0.05205443247564927,-0.008532309923793377,14.082800272608598,-0.00887328028915434,-0.008170522355155542,True,178339,2769021,50,-3.2732416174628516,703.5
combined_quotes_wings,0.8,0.08851511939643322,0.07435899777730767,-0.01415612161912555,15.99288541398723,-0.014594091078328545,-0.013720087127733045,True,44751,2769021,26,-2.7737997553565283,244.0
fewer_quotes,0.2,0.006502591488325694,0.006321019766846148,-0.0001815717214795464,2.792297837032017,-0.00019786875303900861,-0.00016603613430438125,True,885873,2769021,50,-4.406669486652721,2405.3
fewer_quotes,0.4,0.007011209076858831,0.006874973677123411,-0.0001362353997354203,1.943108502998125,-0.00015547187606869279,-0.0001144724962250922,True,664187,2769021,43,-4.329247908158735,1793.2
fewer_quotes,0.6,0.007794864845026704,0.007784132002409163,-1.0732842617541122e-05,0.13769119581834588,-1.3231392619878982e-05,-8.322139568601338e-06,True,443120,2769021,25,-4.225412368774414,1133.0
fewer_quotes,0.8,0.009413942803555965,0.009407797624824856,-6.145178731108841e-06,0.06527741733025613,-5.625158226163475e-05,4.457308581262382e-05,False,221526,2769021,50,-4.066013325344432,799.2
missing_maturities,0.2,0.007170046771333962,0.00707178197287739,-9.826479845657238e-05,1.3704903411430684,-0.00014361631022576262,-4.9886607804661415e-05,True,887293,2769021,50,-4.350686550140381,2370.1
missing_maturities,0.4,0.009027691663091935,0.008167047512506895,-0.0008606441505850399,9.533379990187592,-0.0009768273327877596,-0.0007449757784447664,True,667832,2769021,50,-4.217439337210222,1828.7
missing_maturities,0.6,0.013766014491598685,0.010887321808893189,-0.0028786926827054967,20.91159125585946,-0.0032442406169279846,-0.0025349204977661577,True,445340,2769021,50,-3.998923735185103,1292.4
missing_maturities,0.8,0.03027439271591573,0.019051971543490698,-0.011222421172425032,37.06902159105978,-0.012300450917398177,-0.010218435611850844,True,223560,2769021,50,-3.5547728646885264,788.7
thin_wings,0.2,0.017256803525779556,0.016955570213438725,-0.0003012333123408317,1.7455915974869038,-0.0003467641860328694,-0.0002543038543357923,True,888345,2769021,46,-4.120298580689863,2363.6
thin_wings,0.4,0.040088510397453245,0.03798409673257801,-0.0021044136648752376,5.249418459332246,-0.00226691446937279,-0.0019311951615010865,True,667202,2769021,47,-3.730716835368763,1823.2
thin_wings,0.6,0.05944310099304657,0.05351280727178969,-0.005930293721256877,9.976420513375608,-0.006187998081365967,-0.005654528552258311,True,446111,2769021,50,-3.3651120337572964,1296.6
thin_wings,0.8,0.08668690138313803,0.0723264638026017,-0.014360437580536331,16.565867912461414,-0.014700729211000189,-0.014015803445041167,True,224539,2769021,50,-2.992164904421026,791.8
