regime,rung_index,intensity,rbf_mae,hybrid_mae,abs_delta,rel_edge_pct,ci_low,ci_high,significant,rel_edge_pct_query,coverage_90_calibrated,n_rows,n_dates
fewer_quotes,0,0.0,0.006131847058698476,0.0060062045073346415,-0.0001256425513638344,2.0490163919793334,-0.00014379497250893283,-0.00010566903428519574,True,2.4534608525859722,0.962031346096689,2769021,694
fewer_quotes,1,0.20000000298023224,0.006502591513379838,0.006332778327023758,-0.0001698131863560803,2.611469381194712,-0.00018839421067819558,-0.00014993783697143194,True,2.9337351505979816,0.9523759480336191,2769021,694
fewer_quotes,2,0.4000000059604645,0.007011209093548445,0.006787968578915893,-0.00022324051463255227,3.1840515901597213,-0.00024191165425725052,-0.00020314337685094151,True,3.409874038780231,0.9374786251169637,2769021,694
fewer_quotes,3,0.6000000238418579,0.007794864862058046,0.007498795311382128,-0.00029606955067591756,3.7982640612161624,-0.00031712215100117736,-0.00027426140560064767,True,3.9427146457408773,0.9128240630894457,2769021,694
fewer_quotes,4,0.800000011920929,0.009413942802747715,0.009007420401509435,-0.0004065224012382799,4.318301159845854,-0.00042952081906914803,-0.0003828827706549266,True,4.370097072097489,0.8589158406527072,2769021,694
thin_wings,0,0.0,0.006131847058698476,0.0060062045073346415,-0.0001256425513638344,2.0490163919793334,-0.00014379497250893283,-0.00010566903428519574,True,2.4534608525859722,0.962031346096689,2769021,694
thin_wings,1,0.20000000298023224,0.01725680367862466,0.017123523218645083,-0.00013328045997957824,0.7723357260224709,-0.00014676563979476486,-0.00012047661166573361,True,0.8961791989959929,0.847846585489962,2769021,694
thin_wings,2,0.4000000059604645,0.040088510266337765,0.04002420127145854,-6.430899487922664e-05,0.16041752225756006,-7.904295913742085e-05,-4.974643234987046e-05,True,0.19519024560533257,0.7029639717430818,2769021,694
thin_wings,3,0.6000000238418579,0.05944310073453776,0.05937861750972063,-6.448322481713425e-05,0.10847890507109442,-8.564891570035153e-05,-4.4829677847233395e-05,True,0.12006413578298143,0.5448575507372462,2769021,694
thin_wings,4,0.800000011920929,0.08668690134166769,0.08641871042089942,-0.00026819092076826867,0.30937882957797874,-0.0002993647507904321,-0.00023838197777321812,True,0.3139332474303542,0.39022528178731763,2769021,694
missing_maturities,0,0.0,0.006131847058698476,0.0060062045073346415,-0.0001256425513638344,2.0490163919793334,-0.00014379497250893283,-0.00010566903428519574,True,2.4534608525859722,0.962031346096689,2769021,694
missing_maturities,1,0.20000000298023224,0.007170046773808738,0.00697406839815098,-0.0001959783756577578,2.7332928478743224,-0.00022050647623754338,-0.00016988206673475606,True,2.99209616487881,0.9402597524540262,2769021,694
missing_maturities,2,0.4000000059604645,0.009027691651130822,0.008747716011432661,-0.0002799756396981608,3.1012982112995697,-0.00030505647523505904,-0.00025546499411033247,True,3.2515529330351756,0.903853022422004,2769021,694
missing_maturities,3,0.6000000238418579,0.01376601447201274,0.013423846664821012,-0.0003421678071917275,2.48559819465088,-0.0003750002233823003,-0.00031225507432017723,True,2.5693550415006663,0.8250031328762043,2769021,694
missing_maturities,4,0.800000011920929,0.03027439271898248,0.02980257995437637,-0.0004718127646061096,1.558454925869665,-0.0005235785262501679,-0.0004227334231445358,True,1.570552313708237,0.628307260941683,2769021,694
combined_quotes_wings,0,0.0,0.006131847058698476,0.0060062045073346415,-0.0001256425513638344,2.0490163919793334,-0.00014379497250893283,-0.00010566903428519574,True,2.4534608525859722,0.962031346096689,2769021,694
combined_quotes_wings,1,0.20000000298023224,0.017382750438630093,0.017215904563959005,-0.00016684587467108783,0.9598358744212443,-0.00018095926341793909,-0.00015336921931050318,True,1.065675526614211,0.8393554978456285,2769021,694
combined_quotes_wings,2,0.4000000059604645,0.03922645756719214,0.03910782906064258,-0.00011862850654956181,0.3024196267184198,-0.00013657625579858684,-0.00010174315432186004,True,0.33269066042720424,0.6832454502873037,2769021,694
combined_quotes_wings,3,0.6000000238418579,0.060586742147345655,0.060431325001804495,-0.00015541714554116043,0.25652005708309794,-0.0001794225363104612,-0.00013218673499429187,True,0.26586130748888764,0.5113886821371163,2769021,694
combined_quotes_wings,4,0.800000011920929,0.08851511935459377,0.08810472052995619,-0.0004103988246375867,0.46364827571831974,-0.00046010345498673146,-0.0003649460824806675,True,0.46690608038171916,0.35433714659441007,2769021,694
