regime,rung_index,intensity,rel_edge_pct,significant,rbf_mae,hybrid_fair_mae,ci_low,ci_high
combined_quotes_wings,0,0.0,2.0490163919793334,True,0.006131847035635011,0.006006201729178429,,
combined_quotes_wings,1,0.2,2.375255092966198,True,0.017382750289720167,0.016969865628165992,-0.0004659221926310565,-0.0003605472412681975
combined_quotes_wings,2,0.4,5.39420834957937,True,0.03922645771375746,0.037110500856517736,-0.002306908213339111,-0.0019289384210728043
combined_quotes_wings,3,0.6,14.082800272608598,True,0.060586742399442645,0.05205443247564927,-0.00887328028915434,-0.008170522355155542
combined_quotes_wings,4,0.8,15.99288541398723,True,0.08851511939643322,0.07435899777730767,-0.014594091078328545,-0.013720087127733045
fewer_quotes,0,0.0,2.0490163919793334,True,0.006131847035635011,0.006006201729178429,,
fewer_quotes,1,0.2,2.792297837032017,True,0.006502591488325694,0.006321019766846148,-0.00019786875303900861,-0.00016603613430438125
fewer_quotes,2,0.4,1.943108502998125,True,0.007011209076858831,0.006874973677123411,-0.00015547187606869279,-0.0001144724962250922
fewer_quotes,3,0.6,0.13769119581834588,True,0.007794864845026704,0.007784132002409163,-1.3231392619878982e-05,-8.322139568601338e-06
fewer_quotes,4,0.8,0.06527741733025613,False,0.009413942803555965,0.009407797624824856,-5.625158226163475e-05,4.457308581262382e-05
missing_maturities,0,0.0,2.0490163919793334,True,0.006131847035635011,0.006006201729178429,,
missing_maturities,1,0.2,1.3704903411430684,True,0.007170046771333962,0.00707178197287739,-0.00014361631022576262,-4.9886607804661415e-05
missing_maturities,2,0.4,9.533379990187592,True,0.009027691663091935,0.008167047512506895,-0.0009768273327877596,-0.0007449757784447664
missing_maturities,3,0.6,20.91159125585946,True,0.013766014491598685,0.010887321808893189,-0.0032442406169279846,-0.0025349204977661577
missing_maturities,4,0.8,37.06902159105978,True,0.03027439271591573,0.019051971543490698,-0.012300450917398177,-0.010218435611850844
thin_wings,0,0.0,2.0490163919793334,True,0.006131847035635011,0.006006201729178429,,
thin_wings,1,0.2,1.7455915974869038,True,0.017256803525779556,0.016955570213438725,-0.0003467641860328694,-0.0002543038543357923
thin_wings,2,0.4,5.249418459332246,True,0.040088510397453245,0.03798409673257801,-0.00226691446937279,-0.0019311951615010865
thin_wings,3,0.6,9.976420513375608,True,0.05944310099304657,0.05351280727178969,-0.006187998081365967,-0.005654528552258311
thin_wings,4,0.8,16.565867912461414,True,0.08668690138313803,0.0723264638026017,-0.014700729211000189,-0.014015803445041167
