benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_random60_noise0_otm,10,val,deep_call_wing,medium,24587,0,0.0,,
spy_phase1_random60_noise0_otm,10,val,deep_put_wing,long,85628,0,0.0,,
spy_phase1_random60_noise0_otm,10,val,put_wing,long,61014,0,0.0,,
spy_phase1_random60_noise0_otm,10,val,atm,long,51675,0,0.0,,
spy_phase1_random60_noise0_otm,10,val,call_wing,long,53728,0,0.0,,
spy_phase1_random60_noise0_otm,10,val,deep_call_wing,long,62071,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,put_wing,short,113292,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,atm,short,130745,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,call_wing,short,57952,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,deep_put_wing,short,43798,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,deep_put_wing,medium,100886,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,put_wing,medium,94475,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,atm,medium,95359,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,call_wing,medium,80273,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,deep_call_wing,medium,24587,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,deep_put_wing,long,85628,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,put_wing,long,61014,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,atm,long,51675,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,call_wing,long,53728,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,deep_call_wing,long,62071,0,0.0,,
spy_phase1_random60_noise0_otm,8,val,deep_call_wing,short,824,0,0.0,,
spy_phase1_random60_noise0_otm,10,val,deep_call_wing,short,824,0,0.0,,
spy_phase1_random60_noise0_otm,12,val,deep_call_wing,short,824,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,put_wing,short,115690,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,atm,short,160421,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,call_wing,short,28879,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,deep_put_wing,short,38781,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,deep_put_wing,medium,110554,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,put_wing,medium,120327,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,atm,medium,115467,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,call_wing,medium,67476,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,deep_call_wing,medium,16184,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,deep_put_wing,long,104806,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,put_wing,long,65728,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,atm,long,48636,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,call_wing,long,51075,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,deep_call_wing,long,63567,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,put_wing,short,115690,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,atm,short,160421,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,call_wing,short,28879,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,deep_put_wing,short,38781,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,deep_put_wing,medium,110554,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,put_wing,medium,120327,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,atm,medium,115467,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,call_wing,medium,67476,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,deep_call_wing,medium,16184,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,deep_put_wing,long,104806,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,put_wing,long,65728,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,atm,long,48636,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,call_wing,long,51075,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,deep_call_wing,long,63567,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,put_wing,short,115690,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,atm,short,160421,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,call_wing,short,28879,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,deep_put_wing,short,38781,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,deep_put_wing,medium,110554,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,put_wing,medium,120327,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,atm,medium,115467,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,call_wing,medium,67476,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,deep_call_wing,medium,16184,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,deep_put_wing,long,104806,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,put_wing,long,65728,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,atm,long,48636,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,call_wing,long,51075,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,deep_call_wing,long,63567,0,0.0,,
spy_phase1_random60_noise0_otm,8,test,deep_call_wing,short,314,0,0.0,,
spy_phase1_random60_noise0_otm,10,test,deep_call_wing,short,314,0,0.0,,
spy_phase1_random60_noise0_otm,12,test,deep_call_wing,short,314,0,0.0,,
