key_name,total_rows,rows_in_dup_groups,pct_rows_in_dup_groups,n_dup_groups,n_groups_call_put_mix,n_groups_same_type,group_size_2,group_size_3,group_size_4_plus
date+expiration+strike,22512040,21072592,93.6058749007198,10530702,10530258,444,10525108,0,5594
"date+round(lm,8)+round(tau,8)",22512040,21072592,93.6058749007198,10530702,10530258,444,10525108,0,5594
"date+round(lm,10)+round(tau,10)",22512040,21072592,93.6058749007198,10530702,10530258,444,10525108,0,5594
"date+round(lm,12)+round(tau,12)",22512040,21072592,93.6058749007198,10530702,10530258,444,10525108,0,5594
