benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_realistic40_noiselow_otm,10,val,deep_put_wing,medium,206996,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,put_wing,medium,96445,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,atm,medium,67958,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,call_wing,medium,79587,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,deep_call_wing,medium,45114,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,deep_put_wing,long,208580,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,put_wing,long,139962,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,atm,long,117573,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,call_wing,long,124640,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,deep_call_wing,long,150614,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,put_wing,short,110600,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,atm,short,94402,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,deep_put_wing,short,84142,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,call_wing,short,50798,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,deep_put_wing,medium,206996,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,put_wing,medium,96445,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,atm,medium,67958,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,call_wing,medium,79587,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,deep_call_wing,medium,45114,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,deep_put_wing,long,208580,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,put_wing,long,139962,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,atm,long,117573,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,call_wing,long,124640,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,deep_call_wing,long,150614,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,val,deep_call_wing,short,1284,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,val,deep_call_wing,short,1284,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,val,deep_call_wing,short,1284,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,put_wing,short,113223,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,atm,short,116667,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,call_wing,short,24341,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,deep_put_wing,short,73464,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,deep_put_wing,medium,229409,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,put_wing,medium,122154,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,atm,medium,78426,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,call_wing,medium,66556,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,deep_call_wing,medium,28577,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,deep_put_wing,long,255992,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,put_wing,long,151060,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,atm,long,111455,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,call_wing,long,120236,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,deep_call_wing,long,154661,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,put_wing,short,113223,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,atm,short,116667,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,call_wing,short,24341,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,deep_put_wing,short,73464,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,deep_put_wing,medium,229409,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,put_wing,medium,122154,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,atm,medium,78426,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,call_wing,medium,66556,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,deep_call_wing,medium,28577,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,deep_put_wing,long,255992,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,put_wing,long,151060,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,atm,long,111455,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,call_wing,long,120236,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,deep_call_wing,long,154661,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,put_wing,short,113223,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,atm,short,116667,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,call_wing,short,24341,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,deep_put_wing,short,73464,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,deep_put_wing,medium,229409,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,put_wing,medium,122154,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,atm,medium,78426,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,call_wing,medium,66556,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,deep_call_wing,medium,28577,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,deep_put_wing,long,255992,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,put_wing,long,151060,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,atm,long,111455,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,call_wing,long,120236,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,deep_call_wing,long,154661,0,0.0,,
spy_phase1_realistic40_noiselow_otm,8,test,deep_call_wing,short,501,0,0.0,,
spy_phase1_realistic40_noiselow_otm,10,test,deep_call_wing,short,501,0,0.0,,
spy_phase1_realistic40_noiselow_otm,12,test,deep_call_wing,short,501,0,0.0,,
