model,split,confidence_source,coverage,retained_mae,n_retained
3a_fourier_gaussian,test,uncertainty,0.5306123468392246,0.022247272245277925,3080557
3a_fourier_gaussian,test,uncertainty,0.5510205206501788,0.023894454362646908,3199040
3a_fourier_gaussian,test,uncertainty,0.5714286944611331,0.02562081473555863,3317523
3a_fourier_gaussian,test,uncertainty,0.5918368682720874,0.02739812267239727,3436006
3a_fourier_gaussian,test,uncertainty,0.6122450420830416,0.029206675022754987,3554489
3a_fourier_gaussian,test,uncertainty,0.6326530436484096,0.031014608488068092,3672971
3a_fourier_gaussian,test,uncertainty,0.6530612174593639,0.03277422590963208,3791454
3a_fourier_gaussian,test,uncertainty,0.6734693912703181,0.03449592218205244,3909937
3a_fourier_gaussian,test,uncertainty,0.6938775650812724,0.03617667119549907,4028420
3a_fourier_gaussian,test,uncertainty,0.7142857388922266,0.03783611091224232,4146903
3a_fourier_gaussian,test,uncertainty,0.7346939127031809,0.03949565580837813,4265386
3a_fourier_gaussian,test,uncertainty,0.7551020865141351,0.04124659302459902,4383869
3a_fourier_gaussian,test,uncertainty,0.7755102603250894,0.04309602440188877,4502352
3a_fourier_gaussian,test,uncertainty,0.7959184341360437,0.045090321520116924,4620835
3a_fourier_gaussian,test,uncertainty,0.816326607946998,0.04725221568557008,4739318
3a_fourier_gaussian,test,uncertainty,0.8367347817579522,0.049563102270749365,4857801
3a_fourier_gaussian,test,uncertainty,0.8571429555689065,0.052011499575832565,4976284
3a_fourier_gaussian,test,uncertainty,0.8775509571342744,0.05461585357805116,5094766
3a_fourier_gaussian,test,uncertainty,0.8979591309452286,0.057435202137882134,5213249
3a_fourier_gaussian,test,uncertainty,0.9183673047561829,0.0604940944249054,5331732
3a_fourier_gaussian,test,uncertainty,0.9387754785671372,0.06384773402916544,5450215
3a_fourier_gaussian,test,uncertainty,0.9591836523780914,0.06758068409054704,5568698
3a_fourier_gaussian,test,uncertainty,0.9795918261890457,0.07196692404035315,5687181
3a_fourier_gaussian,test,uncertainty,1.0,0.07904732064704732,5805664
