seed,epoch,train_loss,val_loss,val_obs_mae,val_unobs_mae,lr,time_s
101,1,0.03209143861507376,0.02683451238342307,0.09416377564149013,0.09411100502991733,0.001,52.67488503456116
101,2,0.017765724383221538,0.024385375140065498,0.09999566670700415,0.09992682423001492,0.001,50.90529108047485
101,3,0.015017864266958307,0.01977423324503682,0.08759379842032645,0.08754815486711369,0.001,51.46436285972595
101,4,0.013290415947124655,0.02208974123509093,0.10160331038376866,0.10160299124947683,0.001,52.76805639266968
101,5,0.012286582322535562,0.019056930460713127,0.07584489104044906,0.07586878027905075,0.001,51.84285235404968
101,6,0.01239684725399403,0.01645873004401272,0.07580758971730345,0.0758621190229628,0.001,51.35912466049194
101,7,0.011308764659927464,0.014304707271300933,0.07313159713864131,0.07318477193820094,0.001,52.092129707336426
101,8,0.010440574840222504,0.016318085412918168,0.08288713260806908,0.08295132078647448,0.001,51.079920053482056
101,9,0.010539102943285424,0.013350708283145319,0.07081035964223638,0.07089055522711239,0.001,51.4424204826355
101,10,0.0102111889989864,0.018713422161950308,0.08819275398572067,0.08831021819636292,0.001,52.8445188999176
101,11,0.010670429250846306,0.013870525025677953,0.07355767455405571,0.07366732218488063,0.001,52.274749994277954
101,12,0.009669560167536723,0.01360829900526865,0.06959455256394526,0.06965930098920042,0.001,51.98758101463318
101,13,0.009556882740820156,0.011354681485417214,0.06520723656362806,0.06536306198457563,0.001,53.747398853302
101,14,0.009674312359671675,0.014709190232679248,0.08337685939391735,0.08345938580985447,0.001,52.92837595939636
101,15,0.009581627757927659,0.011130411643534899,0.06448885300271338,0.06462435628196937,0.001,52.93867349624634
101,16,0.00935796246973469,0.012477592226456512,0.07402146499448348,0.07413765673240978,0.001,51.47201418876648
101,17,0.009140188645973218,0.015287596393715252,0.07969356558093953,0.07992338776479485,0.001,52.88129425048828
101,18,0.009447252081122761,0.011339030292054469,0.06475440092549463,0.06492494524460304,0.001,52.42180776596069
101,19,0.009915884880933399,0.015487636164338752,0.07325135310005645,0.07336799185089377,0.001,51.69735860824585
101,20,0.010265233465379067,0.012264542620290409,0.0648426638746488,0.06501296293476594,0.001,52.28006029129028
101,21,0.009852468278076426,0.01325304359620945,0.06616443010441095,0.06631875733279641,0.0005,53.48657298088074
101,22,0.008990745758637786,0.011294262420216744,0.06292524550724406,0.0631140789052863,0.0005,51.7670738697052
101,23,0.008953032741213547,0.010561703492633322,0.05882548843332674,0.05903893671922929,0.0005,52.66186857223511
101,24,0.008722116686768975,0.011101382001387801,0.06209057470398775,0.06226043960717637,0.0005,50.58047699928284
101,25,0.008731998982565367,0.010384774576364593,0.0606449793246811,0.06087256273833102,0.0005,52.95521807670593
101,26,0.008639104034313384,0.011432144536890766,0.06715267268234737,0.06738067048783782,0.0005,51.34763026237488
101,27,0.008738649694029899,0.010982482461258769,0.06389516909656365,0.0641233529411151,0.0005,51.752310037612915
