benchmark,key_decimals,mode,n_total_hidden,n_zero_distance,pct_zero_distance,n_hidden_with_exact_obs_dup,q25_distance,q50_distance,q75_distance,q95_distance
spy_phase1_random20_noise0_otm,10,naive,8427050,0,0.0,0,0.01142869582362288,0.021277398447284893,0.03390155167568126,0.08223809823697192
spy_phase1_random20_noise0_otm,10,dedup_obs,8427050,0,0.0,0,0.01142869582362288,0.021277398447284893,0.03390155167568126,0.08223809823697192
spy_phase1_random20_noise0_otm,10,exclude_self_dup,8427050,0,0.0,0,0.01142869582362288,0.021277398447284893,0.03390155167568126,0.08223809823697192
