family,head,data_substrate,split,metric,value,source,n
anp_calibrated,fused,otm,val,coverage_90,0.966353338153772,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,41490
anp_calibrated,fused,otm,val,mean_width,0.058648740925446106,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,41490
anp_calibrated,fused,otm,val,hi_conf_mae_keep0.8,0.008681541838702535,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,41490
anp_calibrated,fused,otm,val,abstain_rate,1.0,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,41490
anp_calibrated,fused,otm,val,mean_tradability,0.3721458219386485,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,41490
anp_calibrated,fused,otm,val,n_forbidden_flag_violations,2175.0,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,41490
anp_calibrated,fused,otm,test,mae,0.011618361451152538,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
anp_calibrated,fused,otm,test,coverage_90,0.9295431472081218,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
anp_calibrated,fused,otm,test,mean_width,0.05382371292148548,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
anp_calibrated,fused,otm,test,hi_conf_mae_keep0.8,0.008352196027861938,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
anp_calibrated,fused,otm,test,abstain_rate,1.0,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
anp_calibrated,fused,otm,test,mean_tradability,0.3764075341275143,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
anp_calibrated,fused,otm,test,n_forbidden_flag_violations,1814.0,results/3/spy_phase1_random40_noiselow_otm/3x_anp/metrics_summary.csv,29550
