split,n,mae,coverage_90,mean_width,hi_conf_mae_keep0.8,abstain_rate,mean_tradability,n_forbidden_flag_violations
train,13587,0.0524958301906304,0.954883344373298,0.20700701525515458,0.03409528391921989,0.8668580260543166,0.313767891606298,1900
val,86671,0.03912293974451229,0.9546445754635345,0.17552955188057826,0.01914958850963807,1.0,0.3707439803617115,3118
test,64610,0.08134543299923915,0.9149357684568952,0.30377371809558834,0.0541641777843941,1.0,0.25746723740764016,9007
