k,val_nll_delta,fraction_of_baseline
1,1.0227489233016966,0.39563475378513263
2,0.19455909093221013,0.07526220393283937
3,0.08060990651448563,0.03118270749535012
5,0.0513277180989582,0.019855341472154973
8,0.005958423614501829,0.0023049248999068004
16,-0.00022475560506185488,-8.694326285225037e-05
32,2.6111602783096544e-05,1.0100873540570999e-05
64,2.543131483179195e-08,9.83771456774264e-09
