pc_idx,raw_dim_idx,loading
0,0,-0.125715498817295
0,2,0.24274843525950807
0,3,0.14164858593776158
0,5,-0.12218385506894118
0,6,-0.23722463775580724
0,7,-0.09717965651157597
0,9,0.07043618289908841
0,12,-0.052012890022347394
0,13,-0.08958588212898023
0,15,-0.12292439099305047
0,16,0.15757906323587298
0,18,-0.24507800256084583
0,20,-0.08325022408843369
0,21,0.06489958387270783
0,22,-0.07763189413302403
0,24,0.07080913175582547
0,25,-0.09227109736830486
0,26,-0.19843444153107798
0,27,0.3374598474462021
0,29,-0.09980432003690431
0,30,0.08992723836212059
0,31,-0.1569901153973673
0,32,0.11729580065122999
0,34,-0.1738223518259833
0,35,-0.11588883529836523
0,36,-0.10263616206065093
0,37,-0.2025790626549332
0,38,0.1383735098985231
0,41,0.14025008553256074
0,43,-0.06535547314979975
0,44,0.11024367595018374
0,45,0.059822569917271584
0,47,-0.23651016684133475
0,49,-0.16123301313995364
0,50,-0.15055522886414588
0,51,-0.052301836394051414
0,52,0.11827773687582105
0,54,-0.07078339178098338
0,55,-0.11321760712724714
0,57,0.22908240798133264
0,58,-0.11261365161188275
0,59,-0.09820111333092042
0,60,0.08129756517129666
0,61,-0.24703319822734854
0,62,0.09407397506613399
1,0,-0.14687242443495235
1,2,0.19799537025675495
1,4,-0.16846892053411738
1,5,0.21351209754499653
1,7,-0.34116212729355655
1,9,0.10823347117450687
1,10,0.08818862972107178
1,11,0.11641699995352629
1,13,-0.12330495159319792
1,14,0.05517399780020722
1,17,0.33410760466354233
1,18,0.15702335529053932
1,20,0.22010211298120283
1,21,0.09962998881154686
1,22,-0.12680035341101817
1,23,-0.12114897224954024
1,24,-0.11134814486861255
1,25,-0.117958489762287
1,26,-0.147474355216766
1,27,0.12481216556847416
1,28,-0.058485098835229364
1,29,-0.10087051963010743
1,30,-0.1837756519778892
1,31,-0.13050990600397452
1,32,-0.10745573139660189
1,34,0.10233584967439326
1,35,-0.09501635012289923
1,36,0.2646474153181504
1,37,-0.08451724492311205
1,39,-0.05495502979720347
1,45,-0.11379568036390805
1,47,-0.06353461311486026
1,50,-0.13479689363533184
1,51,0.07265596985246946
1,52,-0.057716522728909224
1,53,-0.057649020163349836
1,54,0.1580831799730332
1,57,-0.23518987813790812
1,58,-0.05373242807796959
1,59,0.2494554411664536
1,60,-0.06229851588040922
1,61,0.1182813324406655
1,62,0.07131015132371787
2,0,0.14490083245443588
2,1,-0.12317418977423128
2,2,0.1018266184721705
2,3,0.14285084740304876
2,4,-0.06908127684017373
2,5,-0.24242490238773254
2,6,0.11412855103873991
2,7,0.1296642501112998
2,10,0.05651331430649336
2,11,-0.15988222748542155
2,13,-0.16737651411602514
2,14,0.12357493203223967
2,15,0.12625973507358576
2,16,0.19646748271486658
2,19,-0.12985367655213
2,21,0.06857516044575089
2,22,0.1802781109794289
2,24,0.15427590972331215
2,25,-0.30627609202619255
2,26,-0.12267683063759391
2,27,-0.1224088173252365
2,30,-0.19824356920026495
2,31,0.08273806411395984
2,32,-0.2157537606957387
2,33,-0.2052885090551151
2,34,0.20000919942291998
2,38,-0.05981247295224973
2,40,0.19696218751226527
2,43,-0.058985376660299495
2,44,-0.2177180828809708
2,46,-0.10126637720936524
2,49,-0.24596671832946332
2,51,0.07962058090561892
2,54,-0.1656539999728064
2,55,0.07115716223694175
2,56,0.05434280115311019
2,57,-0.11560397257080762
2,59,-0.13874119138570798
2,60,-0.12166492627800757
2,61,-0.12339379667696092
2,62,0.14223500098554412
2,63,-0.17273123792095552
3,0,-0.11064666081949336
3,1,-0.087027625703203
3,2,0.13122154046320386
3,3,0.10967880440378275
3,4,-0.18490518815036
3,5,0.13159131990671857
3,6,0.11151351089192918
3,7,0.24485395812346494
3,8,0.12053376588178667
3,10,-0.12867940403262812
3,11,-0.12019989502230163
3,12,0.05289880354399158
3,13,-0.07575640905887761
3,14,0.21681239470145583
3,16,-0.1958655553193301
3,17,-0.10575746572883543
3,18,0.07784180922486028
3,19,-0.05430955853708147
3,20,0.16112672401503741
3,22,-0.15221021801194753
3,24,0.21392870413500018
3,25,0.06818545558577166
3,26,0.08648042367840732
3,27,-0.15373670862695196
3,28,-0.13716298747219913
3,29,0.09499590604887519
3,31,0.15245327331896652
3,35,-0.2448542656284669
3,36,-0.2324959915635784
3,37,0.10212126069677445
3,38,0.06604336915008639
3,39,-0.06338933474358514
3,42,-0.13521935390619266
3,43,0.07090424878036958
3,44,0.23237533079258535
3,46,0.1644296149742491
3,47,-0.23879663536724388
3,49,0.08970149007939128
3,50,-0.07888496869673368
3,51,-0.13160405444301623
3,52,0.05569213565101732
3,53,0.05253985813061026
3,56,-0.10922489095020263
3,57,-0.1046989641361531
3,58,-0.060348283477479
3,59,0.0675169405936414
3,60,0.1523086664548814
3,61,-0.15715510430618485
3,63,-0.2449481826802872
4,0,-0.1443242962154333
4,1,-0.2376060802255532
4,3,-0.28919402008481276
4,4,-0.13136621427901574
4,5,-0.05734705146961633
4,6,-0.0790923015778528
4,7,0.06344015787600987
4,8,-0.13920471062741827
4,9,0.18204568892462894
4,10,-0.254765933212459
4,12,0.1682041492249873
