split,n,mae,coverage_90,mean_width,hi_conf_mae_keep0.8,abstain_rate,mean_tradability,n_forbidden_flag_violations
train,13587,0.07515141330113698,0.0,0.0,0.0756200542183281,0.13822035769485538,0.9861779642305144,1886
val,86671,0.03881180835062164,0.0,0.0,0.04030811136490215,0.025648717564121792,0.9974351282435876,2590
test,64610,0.08413326928142717,0.0,0.0,0.08557312564639073,0.09874632409843677,0.9901253675901563,7381
