split,n,mae,coverage_90,mean_width,hi_conf_mae_keep0.8,abstain_rate,mean_tradability,n_forbidden_flag_violations
train,13587,0.03768058016733934,0.0,0.0,0.03780488025220526,0.34444689776992715,0.9655553102230073,4986
val,86671,0.035808047757206585,0.0,0.0,0.037437967232932676,0.3878344544311246,0.9612165545568876,36953
test,64610,0.07296892124408841,0.0,0.0,0.07418891094353314,0.5689986070267761,0.9431001392973225,43406
